n_threads,time,n_points,dimensionality
1,0.0570541,2000,4096
1,0.0571591,2000,4096
1,0.0414244,2000,4096
1,0.0397352,2000,4096
1,0.04003,2000,4096
1,0.0577817,2000,4096
1,0.0397718,2000,4096
1,0.0412469,2000,4096
1,0.0405594,2000,4096
1,0.057183,2000,4096
2,0.0802701,2880,4096
2,0.0908362,2880,4096
2,0.0836895,2880,4096
2,0.0824615,2880,4096
2,0.0882714,2880,4096
2,0.0847209,2880,4096
2,0.090122,2880,4096
2,0.0908737,2880,4096
2,0.0904675,2880,4096
2,0.105155,2880,4096
4,0.118454,4976,4096
4,0.179772,4976,4096
4,0.121673,4976,4096
4,0.119044,4976,4096
4,0.118522,4976,4096
4,0.119248,4976,4096
4,0.117473,4976,4096
4,0.118537,4976,4096
4,0.115866,4976,4096
4,0.116005,4976,4096
8,0.194207,10317,4096
8,0.195458,10317,4096
8,0.196381,10317,4096
8,0.195507,10317,4096
8,0.194671,10317,4096
8,0.191682,10317,4096
8,0.195932,10317,4096
8,0.195502,10317,4096
8,0.196288,10317,4096
8,0.193601,10317,4096
16,0.302751,17827,4096
16,0.30413,17827,4096
16,0.307114,17827,4096
16,0.30535,17827,4096
16,0.301454,17827,4096
16,0.301897,17827,4096
16,0.303805,17827,4096
16,0.30361,17827,4096
16,0.3043,17827,4096
16,0.307016,17827,4096
32,0.613567,36964,4096
32,0.587239,36964,4096
32,0.359804,36964,4096
32,0.421166,36964,4096
32,0.478217,36964,4096
32,0.538827,36964,4096
32,0.596646,36964,4096
32,0.624123,36964,4096
32,0.601355,36964,4096
32,0.604755,36964,4096
