n_threads,time,n_points,dimensionality
1,0.0275856,1000,4096
1,0.0246966,1000,4096
1,0.0184491,1000,4096
1,0.017794,1000,4096
1,0.0242252,1000,4096
1,0.0256973,1000,4096
1,0.0178457,1000,4096
1,0.0186318,1000,4096
1,0.0251167,1000,4096
1,0.0242279,1000,4096
2,0.0371834,1440,4096
2,0.0405653,1440,4096
2,0.037573,1440,4096
2,0.0374907,1440,4096
2,0.0397242,1440,4096
2,0.0403705,1440,4096
2,0.0425158,1440,4096
2,0.0435111,1440,4096
2,0.0462046,1440,4096
2,0.042985,1440,4096
4,0.0560267,2487,4096
4,0.0562068,2487,4096
4,0.0582989,2487,4096
4,0.0561032,2487,4096
4,0.0573444,2487,4096
4,0.0570498,2487,4096
4,0.0869922,2487,4096
4,0.0576154,2487,4096
4,0.0563101,2487,4096
4,0.0564536,2487,4096
8,0.0964131,5155,4096
8,0.0972643,5155,4096
8,0.0957028,5155,4096
8,0.0967534,5155,4096
8,0.0951324,5155,4096
8,0.0990024,5155,4096
8,0.0969161,5155,4096
8,0.0988377,5155,4096
8,0.0947274,5155,4096
8,0.0973584,5155,4096
16,0.145376,8907,4096
16,0.145754,8907,4096
16,0.145179,8907,4096
16,0.146145,8907,4096
16,0.143374,8907,4096
16,0.145707,8907,4096
16,0.145032,8907,4096
16,0.144201,8907,4096
16,0.145168,8907,4096
