n_threads,time,n_points,dimensionality
1,0.871208,30000,2048
1,0.791325,30000,2048
1,0.450106,30000,2048
1,0.451428,30000,2048
1,0.450889,30000,2048
1,0.453805,30000,2048
1,0.450565,30000,2048
1,0.448619,30000,2048
1,0.457315,30000,2048
1,0.448773,30000,2048
1,0.449359,30000,2048
1,0.449144,30000,2048
1,0.449535,30000,2048
1,0.448823,30000,2048
1,0.449611,30000,2048
1,0.448826,30000,2048
1,0.450144,30000,2048
1,0.450257,30000,2048
1,0.448532,30000,2048
1,0.449578,30000,2048
1,0.448809,30000,2048
1,0.450853,30000,2048
1,0.44926,30000,2048
1,0.450425,30000,2048
1,0.448301,30000,2048
1,0.450172,30000,2048
1,0.450449,30000,2048
1,0.451668,30000,2048
1,0.448716,30000,2048
1,0.45101,30000,2048
1,0.449176,30000,2048
1,0.450931,30000,2048
1,0.455496,30000,2048
1,0.448628,30000,2048
1,0.450326,30000,2048
1,0.448977,30000,2048
1,0.450197,30000,2048
1,0.45002,30000,2048
1,0.450279,30000,2048
1,0.448948,30000,2048
1,0.45017,30000,2048
1,0.448757,30000,2048
1,0.450111,30000,2048
1,0.449257,30000,2048
1,0.448426,30000,2048
1,0.450719,30000,2048
1,0.448978,30000,2048
1,0.449425,30000,2048
1,0.493515,30000,2048
1,0.455068,30000,2048
2,0.58939,30000,2048
2,0.460819,30000,2048
2,0.461051,30000,2048
2,0.461272,30000,2048
2,0.466705,30000,2048
2,0.463958,30000,2048
2,0.463975,30000,2048
2,0.463424,30000,2048
2,0.462602,30000,2048
2,0.461446,30000,2048
2,0.460872,30000,2048
2,0.46112,30000,2048
2,0.460897,30000,2048
2,0.4645,30000,2048
2,0.464596,30000,2048
2,0.463551,30000,2048
2,0.46583,30000,2048
2,0.476769,30000,2048
2,0.463421,30000,2048
2,0.461297,30000,2048
2,0.460795,30000,2048
2,0.461091,30000,2048
2,0.461003,30000,2048
2,0.463841,30000,2048
2,0.517293,30000,2048
2,0.461124,30000,2048
2,0.465446,30000,2048
2,0.463474,30000,2048
2,0.464489,30000,2048
2,0.463943,30000,2048
2,0.462857,30000,2048
2,0.46295,30000,2048
2,0.462942,30000,2048
2,0.464527,30000,2048
2,0.464691,30000,2048
2,0.461427,30000,2048
2,0.461008,30000,2048
2,0.461204,30000,2048
2,0.461796,30000,2048
2,0.462192,30000,2048
2,0.461913,30000,2048
2,0.460806,30000,2048
2,0.460767,30000,2048
2,0.462466,30000,2048
2,0.463333,30000,2048
2,0.463868,30000,2048
2,0.461682,30000,2048
2,0.509878,30000,2048
2,0.467346,30000,2048
2,0.466469,30000,2048
4,0.727625,30000,2048
4,0.466688,30000,2048
4,0.463261,30000,2048
4,0.462911,30000,2048
4,0.464843,30000,2048
4,0.462765,30000,2048
4,0.462533,30000,2048
4,0.462573,30000,2048
4,0.46374,30000,2048
4,0.463876,30000,2048
4,0.462759,30000,2048
4,0.46261,30000,2048
4,0.462325,30000,2048
4,0.462377,30000,2048
4,0.46273,30000,2048
4,0.4643,30000,2048
4,0.464574,30000,2048
4,0.464514,30000,2048
4,0.46718,30000,2048
4,0.466794,30000,2048
4,0.468914,30000,2048
4,0.468664,30000,2048
4,0.464244,30000,2048
4,0.511552,30000,2048
4,0.471397,30000,2048
4,0.463536,30000,2048
4,0.464327,30000,2048
4,0.462565,30000,2048
4,0.465503,30000,2048
4,0.463999,30000,2048
4,0.466108,30000,2048
4,0.464505,30000,2048
4,0.462742,30000,2048
4,0.462892,30000,2048
4,0.462751,30000,2048
4,0.462513,30000,2048
4,0.463048,30000,2048
4,0.462392,30000,2048
4,0.462365,30000,2048
4,0.464002,30000,2048
4,0.465595,30000,2048
4,0.462801,30000,2048
4,0.464164,30000,2048
4,0.464498,30000,2048
4,0.465245,30000,2048
4,0.466487,30000,2048
4,0.464132,30000,2048
4,0.465014,30000,2048
4,0.463784,30000,2048
4,0.464342,30000,2048
