n_threads,time,n_points,dimensionality
1,0.107331,5000,2048
1,0.0975448,5000,2048
1,0.0657682,5000,2048
1,0.0676714,5000,2048
1,0.0686994,5000,2048
1,0.073547,5000,2048
1,0.0704926,5000,2048
1,0.0720103,5000,2048
1,0.0709982,5000,2048
1,0.073229,5000,2048
2,0.124467,7200,2048
2,0.0986828,7200,2048
2,0.109606,7200,2048
2,0.121342,7200,2048
2,0.134577,7200,2048
2,0.150986,7200,2048
2,0.167238,7200,2048
2,0.149154,7200,2048
2,0.159543,7200,2048
2,0.161432,7200,2048
3,0.208967,10368,2048
3,0.211192,10368,2048
3,0.201235,10368,2048
3,0.2012,10368,2048
3,0.199365,10368,2048
3,0.20006,10368,2048
3,0.20059,10368,2048
3,0.200404,10368,2048
3,0.208071,10368,2048
3,0.201604,10368,2048
4,0.27089,14929,2048
4,0.272685,14929,2048
4,0.268391,14929,2048
4,0.251946,14929,2048
4,0.265961,14929,2048
4,0.26701,14929,2048
4,0.267634,14929,2048
4,0.26401,14929,2048
4,0.268581,14929,2048
4,0.267093,14929,2048
5,0.320049,17914,2048
5,0.316334,17914,2048
5,0.313584,17914,2048
5,0.317962,17914,2048
5,0.38885,17914,2048
5,0.404833,17914,2048
5,0.366299,17914,2048
5,0.314391,17914,2048
5,0.360345,17914,2048
5,0.315595,17914,2048
6,0.363525,21496,2048
6,0.358298,21496,2048
6,0.418452,21496,2048
6,0.352831,21496,2048
6,0.348965,21496,2048
6,0.171881,21496,2048
6,0.349043,21496,2048
6,0.364316,21496,2048
6,0.348626,21496,2048
6,0.348904,21496,2048
7,0.417687,21496,2048
7,0.342331,21496,2048
7,0.177277,21496,2048
7,0.33749,21496,2048
7,0.34043,21496,2048
7,0.342292,21496,2048
7,0.352523,21496,2048
7,0.343847,21496,2048
7,0.346942,21496,2048
7,0.339308,21496,2048
8,0.464526,25795,2048
8,0.241599,25795,2048
8,0.183912,25795,2048
8,0.22486,25795,2048
8,0.272651,25795,2048
8,0.310634,25795,2048
8,0.236261,25795,2048
8,0.227063,25795,2048
8,0.238488,25795,2048
8,0.237135,25795,2048
