n_threads,time,n_points,dimensionality
1,0.910865,30000,2048
1,0.837599,30000,2048
1,0.837774,30000,2048
1,0.838339,30000,2048
1,0.836078,30000,2048
1,0.836645,30000,2048
1,0.839013,30000,2048
1,0.837728,30000,2048
1,0.838191,30000,2048
1,0.837389,30000,2048
1,0.837909,30000,2048
1,0.837843,30000,2048
1,0.837194,30000,2048
1,0.885882,30000,2048
1,0.835769,30000,2048
1,0.842644,30000,2048
1,0.836597,30000,2048
1,0.837749,30000,2048
1,0.836752,30000,2048
1,0.838092,30000,2048
1,0.836315,30000,2048
1,0.837383,30000,2048
1,0.836613,30000,2048
1,0.837153,30000,2048
1,0.83618,30000,2048
1,0.836056,30000,2048
1,0.884457,30000,2048
1,0.836538,30000,2048
1,0.836666,30000,2048
1,0.843275,30000,2048
1,0.835915,30000,2048
1,0.836303,30000,2048
1,0.837509,30000,2048
1,0.836673,30000,2048
1,0.835932,30000,2048
1,0.835868,30000,2048
1,0.836161,30000,2048
1,0.83713,30000,2048
1,0.83644,30000,2048
1,0.836325,30000,2048
1,0.835772,30000,2048
1,0.884931,30000,2048
1,0.836804,30000,2048
1,0.835913,30000,2048
1,0.836077,30000,2048
1,0.83613,30000,2048
1,0.842348,30000,2048
1,0.836242,30000,2048
1,0.83594,30000,2048
1,0.836262,30000,2048
2,0.83674,30000,2048
2,0.499097,30000,2048
2,0.494604,30000,2048
2,0.494493,30000,2048
2,0.498308,30000,2048
2,0.497939,30000,2048
2,0.498439,30000,2048
2,0.498023,30000,2048
2,0.496575,30000,2048
2,0.543231,30000,2048
2,0.501815,30000,2048
2,0.495018,30000,2048
2,0.496342,30000,2048
2,0.496808,30000,2048
2,0.496725,30000,2048
2,0.497444,30000,2048
2,0.495829,30000,2048
2,0.49663,30000,2048
2,0.496337,30000,2048
2,0.494348,30000,2048
2,0.542574,30000,2048
2,0.495381,30000,2048
2,0.501813,30000,2048
2,0.494972,30000,2048
2,0.496085,30000,2048
2,0.49488,30000,2048
2,0.498513,30000,2048
2,0.4958,30000,2048
2,0.496303,30000,2048
2,0.495855,30000,2048
2,0.496072,30000,2048
2,0.496004,30000,2048
2,0.496574,30000,2048
2,0.496124,30000,2048
2,0.494584,30000,2048
2,0.494464,30000,2048
2,0.494421,30000,2048
2,0.541843,30000,2048
2,0.496986,30000,2048
2,0.494442,30000,2048
2,0.50159,30000,2048
2,0.495171,30000,2048
2,0.494415,30000,2048
2,0.494445,30000,2048
2,0.496013,30000,2048
2,0.494665,30000,2048
2,0.49462,30000,2048
2,0.496107,30000,2048
2,0.495428,30000,2048
2,0.494382,30000,2048
3,0.69223,30000,2048
3,0.494913,30000,2048
3,0.49506,30000,2048
3,0.494982,30000,2048
3,0.495369,30000,2048
3,0.495193,30000,2048
3,0.495166,30000,2048
3,0.494985,30000,2048
3,0.494957,30000,2048
3,0.496305,30000,2048
3,0.495701,30000,2048
3,0.494932,30000,2048
3,0.494976,30000,2048
3,0.495064,30000,2048
3,0.49743,30000,2048
3,0.504861,30000,2048
3,0.498812,30000,2048
3,0.495292,30000,2048
3,0.495449,30000,2048
3,0.545189,30000,2048
3,0.502533,30000,2048
3,0.495673,30000,2048
3,0.497236,30000,2048
3,0.495416,30000,2048
3,0.497294,30000,2048
3,0.495776,30000,2048
3,0.497282,30000,2048
