n_threads,time,n_points,dimensionality
1,0.161784,5000,4096
1,0.159986,5000,4096
1,0.162937,5000,4096
1,0.14309,5000,4096
1,0.16123,5000,4096
1,0.154355,5000,4096
1,0.136596,5000,4096
1,0.134469,5000,4096
1,0.134548,5000,4096
1,0.140762,5000,4096
2,0.190979,7200,4096
2,0.21108,7200,4096
2,0.166337,7200,4096
2,0.178707,7200,4096
2,0.191368,7200,4096
2,0.28862,7200,4096
2,0.287727,7200,4096
2,0.214484,7200,4096
2,0.211899,7200,4096
2,0.211827,7200,4096
3,0.257618,10368,4096
3,0.256707,10368,4096
3,0.254785,10368,4096
3,0.257046,10368,4096
3,0.261839,10368,4096
3,0.26142,10368,4096
3,0.26273,10368,4096
3,0.25615,10368,4096
3,0.27023,10368,4096
3,0.258031,10368,4096
4,0.332132,14929,4096
4,0.341383,14929,4096
4,0.329515,14929,4096
4,0.323462,14929,4096
4,0.328898,14929,4096
4,0.324165,14929,4096
4,0.330624,14929,4096
4,0.334587,14929,4096
4,0.330142,14929,4096
4,0.327373,14929,4096
5,0.377587,17914,4096
5,0.364969,17914,4096
5,0.368593,17914,4096
5,0.308837,17914,4096
5,0.340002,17914,4096
5,0.35391,17914,4096
5,0.585897,17914,4096
5,0.367959,17914,4096
5,0.367641,17914,4096
5,0.366694,17914,4096
6,0.441996,21496,4096
6,0.415226,21496,4096
6,0.411518,21496,4096
6,0.415322,21496,4096
6,0.415726,21496,4096
6,0.419979,21496,4096
6,0.416766,21496,4096
6,0.419665,21496,4096
6,0.418826,21496,4096
6,0.426987,21496,4096
7,0.33626,21496,4096
7,0.40791,21496,4096
7,0.414356,21496,4096
7,0.420227,21496,4096
7,0.409862,21496,4096
7,0.548515,21496,4096
7,0.438747,21496,4096
7,0.432614,21496,4096
7,0.413708,21496,4096
7,0.41312,21496,4096
8,0.475222,25795,4096
8,0.470746,25795,4096
8,0.483428,25795,4096
8,0.40279,25795,4096
8,0.429538,25795,4096
8,0.395137,25795,4096
8,0.367674,25795,4096
8,0.376916,25795,4096
8,0.376329,25795,4096
8,0.379806,25795,4096
