n_threads,time,n_points,dimensionality
16,0.161248,10000,4096
16,0.161323,10000,4096
16,0.161449,10000,4096
16,0.161224,10000,4096
16,0.162864,10000,4096
16,0.160722,10000,4096
32,0.157543,10000,4096
32,0.0313301,10000,4096
32,0.0300229,10000,4096
32,0.0298249,10000,4096
32,0.029827,10000,4096
32,0.0296994,10000,4096
32,0.0297636,10000,4096
32,0.0297564,10000,4096
32,0.0297812,10000,4096
32,0.0298375,10000,4096
32,0.0298038,10000,4096
32,0.0297618,10000,4096
32,0.029842,10000,4096
32,0.0297947,10000,4096
32,0.0297421,10000,4096
32,0.0297989,10000,4096
32,0.0297679,10000,4096
32,0.0297714,10000,4096
32,0.0298492,10000,4096
32,0.0297865,10000,4096
32,0.0297804,10000,4096
32,0.0297345,10000,4096
32,0.0296658,10000,4096
32,0.0297018,10000,4096
32,0.0298227,10000,4096
32,0.0308522,10000,4096
32,0.031648,10000,4096
32,0.0307784,10000,4096
32,0.0304273,10000,4096
32,0.0298723,10000,4096
32,0.0297998,10000,4096
32,0.0297997,10000,4096
32,0.0297723,10000,4096
32,0.0296975,10000,4096
32,0.0298413,10000,4096
32,0.029863,10000,4096
32,0.0297335,10000,4096
32,0.0297335,10000,4096
32,0.0298199,10000,4096
32,0.0297204,10000,4096
32,0.0298132,10000,4096
32,0.0297306,10000,4096
32,0.029737,10000,4096
32,0.029679,10000,4096
32,0.0297587,10000,4096
32,0.0296956,10000,4096
32,0.0297517,10000,4096
32,0.0298316,10000,4096
32,0.0300351,10000,4096
32,0.0297994,10000,4096
