n_threads,time,n_points,dimensionality
1,1.29511,30000,4096
1,1.2102,30000,4096
1,0.867286,30000,4096
1,0.867529,30000,4096
1,0.866571,30000,4096
1,0.867161,30000,4096
1,0.870008,30000,4096
1,0.868954,30000,4096
1,0.867221,30000,4096
1,0.867158,30000,4096
1,0.86753,30000,4096
1,0.86718,30000,4096
1,0.868659,30000,4096
1,0.868809,30000,4096
1,0.920275,30000,4096
1,0.910011,30000,4096
1,0.869932,30000,4096
1,0.869785,30000,4096
1,0.868248,30000,4096
1,0.866531,30000,4096
1,0.866908,30000,4096
1,0.866652,30000,4096
1,0.866706,30000,4096
1,0.86832,30000,4096
1,0.878662,30000,4096
1,0.866938,30000,4096
1,0.867008,30000,4096
1,0.867507,30000,4096
1,0.867222,30000,4096
1,0.919547,30000,4096
1,0.866187,30000,4096
1,0.910914,30000,4096
1,0.869781,30000,4096
1,0.865924,30000,4096
1,0.869746,30000,4096
1,0.866539,30000,4096
1,0.867027,30000,4096
1,0.866368,30000,4096
1,0.867445,30000,4096
1,0.877851,30000,4096
1,0.868175,30000,4096
1,0.866141,30000,4096
1,0.867046,30000,4096
1,0.86661,30000,4096
1,0.866919,30000,4096
1,0.867421,30000,4096
1,0.867094,30000,4096
1,0.867168,30000,4096
1,0.867147,30000,4096
1,0.867158,30000,4096
2,0.682711,30000,4096
2,0.541706,30000,4096
2,0.54579,30000,4096
2,0.545069,30000,4096
2,0.524457,30000,4096
2,0.536816,30000,4096
2,0.640878,30000,4096
2,0.586959,30000,4096
2,0.557664,30000,4096
2,0.558181,30000,4096
2,0.932023,30000,4096
2,0.488145,30000,4096
2,0.518284,30000,4096
2,0.625916,30000,4096
2,0.529484,30000,4096
2,0.517292,30000,4096
2,0.526837,30000,4096
2,0.589293,30000,4096
2,0.567636,30000,4096
2,0.49445,30000,4096
2,0.524631,30000,4096
2,0.552435,30000,4096
2,0.518732,30000,4096
2,0.588049,30000,4096
2,0.57142,30000,4096
2,0.508922,30000,4096
2,0.513257,30000,4096
2,0.50455,30000,4096
2,0.512947,30000,4096
2,0.509144,30000,4096
2,0.507434,30000,4096
2,0.511913,30000,4096
2,0.478998,30000,4096
2,0.510684,30000,4096
2,0.488025,30000,4096
2,0.520739,30000,4096
2,0.501478,30000,4096
2,0.527148,30000,4096
2,0.521816,30000,4096
