n_threads,time,n_points,dimensionality
1,1.27311,30000,4096
1,1.19468,30000,4096
1,0.848116,30000,4096
1,0.846531,30000,4096
1,0.847023,30000,4096
1,0.847118,30000,4096
1,0.847772,30000,4096
1,0.847901,30000,4096
1,0.848011,30000,4096
1,0.847695,30000,4096
1,0.847495,30000,4096
1,0.847015,30000,4096
1,0.859185,30000,4096
1,0.847702,30000,4096
1,0.899322,30000,4096
1,0.893308,30000,4096
1,0.851419,30000,4096
1,0.848787,30000,4096
1,0.847378,30000,4096
1,0.847246,30000,4096
1,0.847011,30000,4096
1,0.846808,30000,4096
1,0.846801,30000,4096
1,0.848764,30000,4096
1,0.846849,30000,4096
1,0.847637,30000,4096
1,0.846973,30000,4096
1,0.847028,30000,4096
1,0.847433,30000,4096
1,0.846336,30000,4096
1,0.900335,30000,4096
1,0.890248,30000,4096
1,0.846417,30000,4096
1,0.850097,30000,4096
1,0.847928,30000,4096
1,0.84718,30000,4096
1,0.846762,30000,4096
1,0.846275,30000,4096
1,0.846908,30000,4096
1,0.846846,30000,4096
1,0.846168,30000,4096
1,0.846605,30000,4096
1,0.847845,30000,4096
1,0.846161,30000,4096
1,0.846801,30000,4096
1,0.846964,30000,4096
1,0.846163,30000,4096
1,0.847119,30000,4096
1,0.847455,30000,4096
1,0.847054,30000,4096
2,0.662507,30000,4096
2,0.524687,30000,4096
2,0.518042,30000,4096
2,0.533739,30000,4096
2,0.615042,30000,4096
2,0.629569,30000,4096
2,0.497467,30000,4096
2,0.530957,30000,4096
2,0.537488,30000,4096
2,0.533325,30000,4096
2,0.533406,30000,4096
2,0.514729,30000,4096
2,0.52348,30000,4096
2,0.532604,30000,4096
2,0.534622,30000,4096
2,0.554145,30000,4096
2,0.803519,30000,4096
2,0.500991,30000,4096
2,0.514165,30000,4096
2,0.670136,30000,4096
2,0.558571,30000,4096
2,0.488026,30000,4096
2,0.508532,30000,4096
2,0.574603,30000,4096
2,0.542256,30000,4096
2,0.482696,30000,4096
2,0.509222,30000,4096
2,0.507549,30000,4096
2,0.514762,30000,4096
2,0.482847,30000,4096
2,0.496982,30000,4096
2,0.498862,30000,4096
2,0.50093,30000,4096
2,0.493846,30000,4096
2,0.502246,30000,4096
2,0.505732,30000,4096
2,0.467838,30000,4096
2,0.479849,30000,4096
2,0.514106,30000,4096
2,0.590112,30000,4096
2,0.561966,30000,4096
2,0.481069,30000,4096
2,0.503428,30000,4096
2,0.50754,30000,4096
2,0.474055,30000,4096
2,0.516401,30000,4096
2,0.517681,30000,4096
2,0.508178,30000,4096
2,0.549519,30000,4096
2,0.476894,30000,4096
4,0.600775,30000,4096
4,0.695385,30000,4096
4,0.64715,30000,4096
4,0.64883,30000,4096
4,0.646255,30000,4096
4,0.645126,30000,4096
4,0.64498,30000,4096
4,0.649061,30000,4096
4,0.645719,30000,4096
4,0.646409,30000,4096
4,0.666143,30000,4096
4,0.644907,30000,4096
4,0.645004,30000,4096
4,0.647514,30000,4096
4,0.647149,30000,4096
4,0.709026,30000,4096
4,0.663205,30000,4096
4,0.637087,30000,4096
4,0.634404,30000,4096
4,0.633553,30000,4096
4,0.627758,30000,4096
4,0.707704,30000,4096
4,0.633046,30000,4096
4,0.646045,30000,4096
4,0.698124,30000,4096
4,0.641715,30000,4096
4,0.635981,30000,4096
4,0.633744,30000,4096
4,0.634215,30000,4096
4,0.634014,30000,4096
4,0.633998,30000,4096
4,0.633466,30000,4096
4,0.685961,30000,4096
4,0.660302,30000,4096
4,0.632858,30000,4096
4,0.638427,30000,4096
4,0.63674,30000,4096
4,0.6366,30000,4096
4,0.63381,30000,4096
4,0.633201,30000,4096
4,0.635616,30000,4096
4,0.633561,30000,4096
4,0.684369,30000,4096
4,0.684678,30000,4096
4,0.639643,30000,4096
4,0.632921,30000,4096
4,0.632609,30000,4096
4,0.632519,30000,4096
4,0.670015,30000,4096
4,0.743692,30000,4096
8,0.573019,30000,4096
8,0.558054,30000,4096
8,0.550151,30000,4096
8,0.550634,30000,4096
8,0.560615,30000,4096
8,0.564771,30000,4096
8,0.589798,30000,4096
8,0.554164,30000,4096
8,0.548711,30000,4096
8,0.549519,30000,4096
8,0.588466,30000,4096
8,0.564128,30000,4096
8,0.551822,30000,4096
8,0.555,30000,4096
8,0.557577,30000,4096
8,0.544854,30000,4096
8,0.543346,30000,4096
8,0.544034,30000,4096
8,0.543315,30000,4096
8,0.54473,30000,4096
8,0.545988,30000,4096
8,0.545415,30000,4096
8,0.540465,30000,4096
8,0.542901,30000,4096
8,0.542927,30000,4096
8,0.547667,30000,4096
8,0.540446,30000,4096
8,0.541479,30000,4096
8,0.540845,30000,4096
8,0.540469,30000,4096
8,0.541008,30000,4096
8,0.540925,30000,4096
8,0.575418,30000,4096
8,0.598862,30000,4096
8,0.541472,30000,4096
8,0.544886,30000,4096
8,0.541612,30000,4096
8,0.540912,30000,4096
8,0.541311,30000,4096
8,0.541589,30000,4096
8,0.670387,30000,4096
8,0.549547,30000,4096
8,0.540858,30000,4096
8,0.54039,30000,4096
8,0.540813,30000,4096
8,0.541133,30000,4096
8,0.540609,30000,4096
8,0.572062,30000,4096
8,0.547654,30000,4096
8,0.543316,30000,4096
16,0.482627,30000,4096
16,0.515801,30000,4096
16,0.480565,30000,4096
16,0.480441,30000,4096
16,0.480575,30000,4096
16,0.486853,30000,4096
16,0.481701,30000,4096
16,0.480718,30000,4096
16,0.481032,30000,4096
16,0.480454,30000,4096
16,0.503929,30000,4096
16,0.498466,30000,4096
16,0.48083,30000,4096
16,0.480283,30000,4096
16,0.48135,30000,4096
16,0.480984,30000,4096
16,0.481082,30000,4096
16,0.480982,30000,4096
16,0.480694,30000,4096
16,0.481269,30000,4096
16,0.480893,30000,4096
16,0.480725,30000,4096
16,0.480339,30000,4096
16,0.480869,30000,4096
16,0.48748,30000,4096
16,0.508463,30000,4096
16,0.480586,30000,4096
16,0.479877,30000,4096
16,0.480039,30000,4096
16,0.479685,30000,4096
16,0.479468,30000,4096
16,0.479185,30000,4096
16,0.480189,30000,4096
16,0.479074,30000,4096
16,0.477165,30000,4096
16,0.4799,30000,4096
16,0.479305,30000,4096
16,0.495432,30000,4096
16,0.481098,30000,4096
16,0.486779,30000,4096
16,0.576657,30000,4096
16,0.486726,30000,4096
16,0.485279,30000,4096
16,0.500921,30000,4096
16,0.531199,30000,4096
16,0.486314,30000,4096
16,0.484706,30000,4096
16,0.482755,30000,4096
16,0.498122,30000,4096
16,0.499206,30000,4096
32,0.461381,30000,4096
32,0.455748,30000,4096
32,0.452907,30000,4096
32,0.453559,30000,4096
32,0.452724,30000,4096
32,0.473042,30000,4096
32,0.452603,30000,4096
32,0.474949,30000,4096
32,0.452298,30000,4096
32,0.456987,30000,4096
32,0.453204,30000,4096
32,0.452784,30000,4096
32,0.453745,30000,4096
32,0.452694,30000,4096
32,0.452558,30000,4096
32,0.452636,30000,4096
32,0.453519,30000,4096
32,0.452511,30000,4096
32,0.45261,30000,4096
32,0.452974,30000,4096
32,0.452954,30000,4096
32,0.452729,30000,4096
32,0.453736,30000,4096
32,0.452874,30000,4096
32,0.452833,30000,4096
32,0.54501,30000,4096
32,0.56244,30000,4096
32,0.463937,30000,4096
32,0.45716,30000,4096
32,0.451361,30000,4096
32,0.451299,30000,4096
32,0.452089,30000,4096
32,0.451763,30000,4096
32,0.452015,30000,4096
32,0.471669,30000,4096
32,0.451528,30000,4096
32,0.468731,30000,4096
32,0.456456,30000,4096
32,0.45222,30000,4096
32,0.452179,30000,4096
32,0.452122,30000,4096
32,0.456526,30000,4096
