n_threads,time,n_points,dimensionality
1,1.29044,30000,4096
1,1.20396,30000,4096
1,0.863836,30000,4096
1,0.863213,30000,4096
1,0.862354,30000,4096
1,0.863666,30000,4096
1,0.865475,30000,4096
1,0.865272,30000,4096
1,0.86291,30000,4096
1,0.864115,30000,4096
1,0.863472,30000,4096
1,0.865057,30000,4096
1,0.864114,30000,4096
1,0.863611,30000,4096
1,0.916359,30000,4096
1,0.906141,30000,4096
1,0.866727,30000,4096
1,0.866045,30000,4096
1,0.862821,30000,4096
1,0.862535,30000,4096
1,0.862469,30000,4096
1,0.862291,30000,4096
1,0.863879,30000,4096
1,0.863583,30000,4096
1,0.862696,30000,4096
1,0.864263,30000,4096
1,0.863676,30000,4096
1,0.863281,30000,4096
1,0.86468,30000,4096
1,0.915083,30000,4096
1,0.864657,30000,4096
1,0.906066,30000,4096
1,0.866101,30000,4096
1,0.86253,30000,4096
1,0.865081,30000,4096
1,0.862428,30000,4096
1,0.862462,30000,4096
1,0.861892,30000,4096
1,0.873612,30000,4096
1,0.863481,30000,4096
1,0.862051,30000,4096
1,0.862441,30000,4096
1,0.86249,30000,4096
1,0.86243,30000,4096
1,0.862768,30000,4096
1,0.86389,30000,4096
1,0.862419,30000,4096
1,0.863018,30000,4096
1,0.86223,30000,4096
1,0.862389,30000,4096
2,0.684972,30000,4096
2,0.538994,30000,4096
2,0.538382,30000,4096
2,0.522917,30000,4096
2,0.64941,30000,4096
2,0.587284,30000,4096
2,0.547525,30000,4096
2,0.560296,30000,4096
2,0.952677,30000,4096
2,0.515931,30000,4096
2,0.518522,30000,4096
2,0.625876,30000,4096
2,0.573105,30000,4096
2,0.512636,30000,4096
2,0.513008,30000,4096
2,0.596689,30000,4096
2,0.575071,30000,4096
2,0.513575,30000,4096
2,0.511957,30000,4096
2,0.514242,30000,4096
2,0.530505,30000,4096
2,0.607392,30000,4096
2,0.544037,30000,4096
2,0.507546,30000,4096
2,0.512964,30000,4096
2,0.512349,30000,4096
2,0.512705,30000,4096
2,0.509544,30000,4096
2,0.518494,30000,4096
2,0.506691,30000,4096
2,0.583284,30000,4096
2,0.569587,30000,4096
2,0.520728,30000,4096
2,0.513707,30000,4096
2,0.507985,30000,4096
2,0.508286,30000,4096
2,0.488468,30000,4096
2,0.507426,30000,4096
2,0.513398,30000,4096
2,0.510863,30000,4096
2,0.512838,30000,4096
2,0.507591,30000,4096
2,0.509498,30000,4096
2,0.514204,30000,4096
2,0.569234,30000,4096
2,0.584847,30000,4096
2,0.618386,30000,4096
2,0.590553,30000,4096
2,0.54699,30000,4096
2,0.545316,30000,4096
